Result for strategy E0V1E320
=============================================================== BACKTESTING REPORT ===============================================================
|            Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|        ZRX/USDT |         1 |           1.05 |           1.05 |           520.408 |          52.04 |         0:40:00 |     1     0     0   100 |
|        ATM/USDT |         7 |           3.12 |          21.85 |           508.862 |          50.89 |         1:06:00 |     6     0     1  85.7 |
|        KDA/USDT |         2 |           2.06 |           4.13 |           506.860 |          50.69 |         0:35:00 |     2     0     0   100 |
|        ENA/USDT |        10 |           2.04 |          20.37 |           505.953 |          50.60 |         0:37:00 |     8     0     2  80.0 |
|       FARM/USDT |         9 |           2.10 |          18.92 |           505.740 |          50.57 |         0:44:00 |     7     0     2  77.8 |
|         IO/USDT |        10 |           1.63 |          16.28 |           474.977 |          47.50 |         3:16:00 |     8     0     2  80.0 |
|       BTTC/USDT |         3 |           1.45 |           4.35 |           462.558 |          46.26 |         0:47:00 |     2     0     1  66.7 |
|       POWR/USDT |         2 |           0.68 |           1.36 |           444.820 |          44.48 |         0:38:00 |     1     0     1  50.0 |
|       MASK/USDT |         1 |           1.20 |           1.20 |           403.033 |          40.30 |         0:30:00 |     1     0     0   100 |
|        WAN/USDT |         3 |           0.46 |           1.37 |           399.893 |          39.99 |         1:30:00 |     2     0     1  66.7 |
|        YFI/USDT |         3 |           0.42 |           1.26 |           398.189 |          39.82 |         1:13:00 |     2     0     1  66.7 |
|         BB/USDT |         7 |           1.38 |           9.66 |           387.622 |          38.76 |         1:43:00 |     7     0     0   100 |
|        APE/USDT |         2 |           2.08 |           4.16 |           387.303 |          38.73 |         1:12:00 |     2     0     0   100 |
|       BICO/USDT |         3 |           2.05 |           6.14 |           374.048 |          37.40 |         0:42:00 |     2     0     1  66.7 |
|        APT/USDT |         1 |           3.03 |           3.03 |           364.175 |          36.42 |         0:15:00 |     1     0     0   100 |
|       ROSE/USDT |         2 |           0.82 |           1.65 |           358.367 |          35.84 |         0:45:00 |     2     0     0   100 |
|      PORTO/USDT |         4 |           0.80 |           3.22 |           351.260 |          35.13 |         2:15:00 |     3     0     1  75.0 |
|      VOXEL/USDT |         2 |           3.32 |           6.63 |           333.800 |          33.38 |         0:28:00 |     2     0     0   100 |
|        MTL/USDT |         4 |           3.95 |          15.81 |           295.950 |          29.60 |         1:30:00 |     4     0     0   100 |
|      EIGEN/USDT |         2 |           1.56 |           3.13 |           290.391 |          29.04 |         0:12:00 |     1     0     1  50.0 |
|        FET/USDT |         2 |           5.83 |          11.65 |           290.087 |          29.01 |         0:12:00 |     2     0     0   100 |
|      SUSHI/USDT |         1 |           1.02 |           1.02 |           262.024 |          26.20 |         1:30:00 |     1     0     0   100 |
|        TIA/USDT |         1 |           2.94 |           2.94 |           257.476 |          25.75 |         0:20:00 |     1     0     0   100 |
|     PEOPLE/USDT |        12 |           1.10 |          13.20 |           254.107 |          25.41 |         0:44:00 |     9     0     3  75.0 |
