Result for strategy E0V1E
=============================================================== BACKTESTING REPORT ==============================================================
|          Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
| CAGR %                      | 15842.17%           |
| Sortino                     | 10.65               |
| Sharpe                      | 11.93               |
| Calmar                      | 963.64              |
| Profit factor               | 3.66                |
| Expectancy (Ratio)          | 36.11 (0.47)        |
| Trades per day              | 1.88                |
| Avg. daily profit %         | 6.78%               |
| Avg. stake amount           | 2100.239 USDT       |
| Total trade volume          | 745584.885 USDT     |
|                             |                     |
| Best Pair                   | WRX/USDT 31.97%     |
| Worst Pair                  | BNT/USDT -27.38%    |
| Best trade                  | MLN/USDT 15.99%     |
| Worst trade                 | TROY/USDT -27.14%   |
| Best day                    | 1792.648 USDT       |
| Worst day                   | -601.083 USDT       |
| Days win/draw/lose          | 131 / 39 / 19       |
| Avg. Duration Winners       | 0:43:00             |
| Avg. Duration Loser         | 19:18:00            |
| Max Consecutive Wins / Loss | 19 / 4              |
| Rejected Entry signals      | 26                  |
| Entry/Exit Timeouts         | 0 / 0               |
|                             |                     |
| Min balance                 | 1005.493 USDT       |
| Max balance                 | 13819.656 USDT      |
| Max % of account underwater | 15.36%              |
| Absolute Drawdown (Account) | 13.45%              |
| Absolute Drawdown           | 717.368 USDT        |
| Drawdown high               | 4334.525 USDT       |
| Drawdown low                | 3617.157 USDT       |
| Drawdown Start              | 2023-11-12 20:30:00 |
| Drawdown End                | 2023-11-13 04:20:00 |
| Market change               | 94.64%              |
=====================================================

Backtested 2023-06-22 00:00:00 -> 2023-12-28 14:35:00 | Max open trades : 2
========================================================================= STRATEGY SUMMARY =========================================================================
|   Strategy |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |              Drawdown |
|------------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------+-----------------------|
|     E0V1E  |       355 |           1.54 |         545.28 |         12819.656 |        1281.97 |        4:01:00 |   292     0    63  82.3 |  717.368 USDT  13.45% |
====================================================================================================================================================================
